Designator,Mid X,Mid Y,Rotation,Layer
C1,76.7315,-54.864,0.0,top
C2,80.3148,-66.3702,180.0,top
D-SCL-1,75.8444,-67.183,270.0,top
D1,83.439,-56.738,270.0,top
D2,76.6318,-65.4812,0.0,top
D3,73.279,-54.9148,90.0,top
D6,83.439,-58.4652,270.0,top
D7,66.5734,-59.1058,90.0,top
D8,66.5988,-56.9468,270.0,top
D9,74.168,-66.2488,270.0,top
J1,87.762,-69.977,270.0,bottom
J2,72.229,-69.977,270.0,top
J3,86.7156,-57.398,90.0,top
J4,69.3674,-57.2262,90.0,top
R1,79.883,-62.103,0.0,top
R2,76.454,-62.103,180.0,top
U1,76.9235,-58.293,270.0,top
U3,83.759,-65.263,0.0,top
